Year,Month,Less_than_High_School,High_School,Some_College,Bachelor_and_Higher
2006,Jan,7.0,4.4,3.6,2.1
2006,Feb,7.1,4.4,3.6,2.2
2006,Mar,6.9,4.1,3.7,2.2
2006,Apr,6.9,4.4,3.8,2.2
2006,May,7.0,4.3,3.8,2.1
2006,Jun,7.1,4.1,3.5,2.1
2006,Jul,7.1,4.5,3.6,2.0
2006,Aug,6.8,4.6,3.5,1.8
2006,Sep,6.4,4.1,3.6,2.1
2006,Oct,5.8,4.1,3.4,1.9
2006,Nov,6.6,4.3,3.4,1.8
2006,Dec,6.7,4.3,3.4,1.8
2007,Jan,6.9,4.3,3.8,2.1
2007,Feb,7.3,4.3,3.6,1.9
2007,Mar,6.9,4.0,3.6,1.8
2007,Apr,7.1,4.1,3.6,1.9
2007,May,6.6,4.4,3.4,2.0
2007,Jun,6.7,4.1,3.5,2.0
2007,Jul,7.3,4.6,3.6,2.1
2007,Aug,6.5,4.4,3.6,2.1
2007,Sep,7.6,4.5,3.4,2.0
2007,Oct,7.3,4.6,3.5,2.1
2007,Nov,7.7,4.5,3.3,2.2
2007,Dec,7.7,4.7,3.8,2.1
2008,Jan,7.7,4.7,3.7,2.1
2008,Feb,7.4,4.7,3.8,2.0
2008,Mar,8.4,5.1,3.9,2.1
2008,Apr,7.7,5.0,4.0,2.1
2008,May,8.1,5.0,4.3,2.2
2008,Jun,8.7,5.1,4.3,2.4
2008,Jul,8.6,5.4,4.6,2.5
2008,Aug,9.7,5.8,4.9,2.8
2008,Sep,9.8,6.2,5.0,2.6
2008,Oct,10.3,6.4,5.2,3.1
2008,Nov,10.8,7.0,5.5,3.2
2008,Dec,11.1,7.8,5.7,3.6
2009,Jan,12.4,8.2,6.5,3.9
2009,Feb,13.2,8.5,7.3,4.1
2009,Mar,14.0,9.2,7.5,4.3
2009,Apr,14.9,9.5,7.7,4.4
2009,May,15.2,10.0,7.8,4.8
2009,Jun,15.6,9.7,8.1,4.8
2009,Jul,15.3,9.5,8.0,4.8
2009,Aug,15.6,9.7,8.1,4.8
2009,Sep,14.9,10.6,8.3,5.0
2009,Oct,15.2,11.0,8.7,4.7
2009,Nov,14.7,10.3,8.8,4.8
2009,Dec,15.0,10.6,8.7,4.9
2010,Jan,15.3,10.2,8.6,4.9
2010,Feb,15.8,10.7,8.1,4.9
2010,Mar,14.9,11.0,8.4,4.9
2010,Apr,14.7,10.8,8.4,4.8
2010,May,14.6,10.9,8.2,4.6
2010,Jun,14.2,10.6,8.1,4.4
2010,Jul,13.5,10.0,8.3,4.5
2010,Aug,14.1,10.0,8.7,4.6
2010,Sep,15.6,9.7,8.9,4.5
2010,Oct,15.0,9.8,8.2,4.6
2010,Nov,15.4,10.0,8.6,5.0
2010,Dec,15.0,9.8,8.1,4.8
2011,Jan,14.3,9.5,8.1,4.3
2011,Feb,14.0,9.7,7.9,4.3
2011,Mar,14.1,9.7,7.5,4.4
2011,Apr,14.7,9.9,7.5,4.5
2011,May,14.5,9.6,7.8,4.5
2011,Jun,14.4,10.0,8.3,4.3
2011,Jul,14.5,9.1,8.3,4.2
2011,Aug,14.1,9.3,8.3,4.2
2011,Sep,14.3,9.4,8.5,4.2
2011,Oct,13.5,9.4,8.1,4.3
2011,Nov,12.8,8.8,7.7,4.4
2011,Dec,13.7,8.7,7.6,4.1
2012,Jan,13.0,8.5,7.1,4.3
2012,Feb,13.2,8.3,7.2,4.2
2012,Mar,12.8,8.1,7.5,4.1
2012,Apr,12.5,8.0,7.6,4.0
2012,May,12.9,8.2,7.7,3.9
2012,Jun,12.7,8.5,7.3,4.0
2012,Jul,12.3,8.5,7.2,4.1
2012,Aug,11.8,8.6,6.7,4.1
2012,Sep,11.6,8.5,6.6,4.0
2012,Oct,12.0,8.3,6.9,3.7
2012,Nov,11.9,8.0,6.5,3.9
2012,Dec,11.7,8.0,6.8,4.0
2013,Jan,12.0,8.1,6.9,3.8
2013,Feb,11.3,7.9,6.5,3.8
2013,Mar,11.1,7.7,6.3,3.8
2013,Apr,11.5,7.5,6.3,3.9
2013,May,10.9,7.3,6.5,3.8
2013,Jun,10.7,7.7,6.5,3.8
2013,Jul,10.7,7.5,6.1,3.8
2013,Aug,11.2,7.4,6.1,3.4
2013,Sep,10.5,7.6,6.1,3.7
2013,Oct,10.8,7.3,6.4,3.8
2013,Nov,10.6,7.2,6.4,3.4
2013,Dec,9.9,7.0,6.1,3.3
2014,Jan,9.6,6.5,5.9,3.3
2014,Feb,10.0,6.4,6.0,3.4
2014,Mar,9.4,6.3,5.9,3.4
2014,Apr,8.7,6.2,5.7,3.3
2014,May,9.0,6.4,5.5,3.2
2014,Jun,9.1,5.8,5.2,3.3
2014,Jul,9.4,6.0,5.4,3.1
2014,Aug,9.1,6.1,5.4,3.2
2014,Sep,8.3,5.4,5.4,2.9
2014,Oct,7.9,5.8,4.9,3.0
2014,Nov,8.6,5.7,4.8,3.1
2014,Dec,8.8,5.3,5.0,2.8
2015,Jan,8.6,5.4,5.2,2.8
2015,Feb,8.4,5.4,5.0,2.7
2015,Mar,8.6,5.3,4.8,2.5
2015,Apr,8.5,5.4,4.6,2.7
2015,May,8.5,5.7,4.4,2.7
2015,Jun,8.1,5.4,4.2,2.5
2015,Jul,8.2,5.5,4.4,2.5
2015,Aug,7.7,5.5,4.4,2.5
2015,Sep,7.7,5.3,4.3,2.5
2015,Oct,7.3,5.3,4.3,2.5
2015,Nov,6.8,5.4,4.4,2.5
2015,Dec,6.7,5.6,4.1,2.5
2016,Jan,7.4,5.3,4.2,2.5
2016,Feb,7.3,5.3,4.2,2.5
2016,Mar,7.4,5.4,4.1,2.6
2016,Apr,7.5,5.4,4.1,2.4
2016,May,7.1,5.1,3.9,2.4
2016,Jun,7.5,5.0,4.2,2.5
2016,Jul,6.3,5.0,4.3,2.5
2016,Aug,7.2,5.1,4.3,2.7
2016,Sep,8.5,5.2,4.2,2.5
2016,Oct,7.3,5.5,3.8,2.6
2016,Nov,7.9,4.9,3.9,2.3
2016,Dec,NA,NA,NA,NA
