State,Rate
alabama,5.9
alaska,6.8
arizona,5.0
arkansas,4.0
california,5.3
colorado,3.2
connecticut,4.7
delaware,4.3
d.c.,6.0
florida,4.9
georgia,5.3
hawaii,3.0
idaho,3.8
illinois,5.6
indiana,4.2
iowa,3.8
kansas,4.3
kentucky,4.8
louisiana,6.2
maine,4.0
maryland,4.2
massachusetts,2.9
michigan,4.9
minnesota,3.8
mississippi,5.7
missouri,4.7
montana,4.0
nebraska,3.4
nevada,5.2
new hampshire,2.7
new jersey,5.0
new mexico,6.7
new york,5.1
north carolina,5.0
north dakota,2.9
ohio,4.9
oklahoma,5.1
oregon,5.0
pennsylvania,5.7
puerto rico,11.9
rhode island,5.3
south carolina,4.4
south dakota,2.7
tennessee,4.8
texas,4.6
utah,3.1
vermont,3.2
virginia,4.2
washington,5.3
west virginia,6.0
wisconsin,4.1
wyoming,4.9
